id;content;created_at;updated_at;status
1;délégation jamais;2025-01-30T20:57:51;2025-01-31T06:33:10;EDITED
2;broum contester aussitôt que;2025-01-31T12:01:03;2025-01-30T17:10:37;EDITED
3;assurément autour foule;2025-01-30T22:54:08;2025-01-31T09:42:53;DELETED
4;exprès turquoise hôte;2025-01-31T11:23:37;2025-01-31T13:33:13;EDITED
5;pour que devant par suite de;2025-01-31T16:15:09;2025-01-31T11:54:50;DELETED
6;sale jamais;2025-01-31T13:04:17;2025-01-31T12:42:41;ACTIVE
7;spécialiste;2025-01-30T20:08:11;2025-01-31T08:51:32;ACTIVE
8;hors camarade à même;2025-01-31T02:00:55;2025-01-30T21:31:00;DELETED
9;afin que rédaction pendant;2025-01-30T22:39:04;2025-01-31T08:34:23;EDITED
10;selon;2025-01-31T11:23:58;2025-01-31T16:25:30;DELETED
