id;title;url;type;project_id
1;crac oh;https://sincere-equipe.com;WEBSITE;1
2;rassurer triathlète précisément;https://timide-gestionnaire.net;DOCUMENTATION;2
3;de par au cas où vraisemblablement;https://tendre-parlementaire.net;DOCUMENTATION;3
4;avant;https://antique-responsable.com;REPOSITORY;4
5;hebdomadaire comme;https://raide-population-du-quebec.fr/;TUTORIAL;5
6;sombre magnifique;https://debile-presidence.info/;TUTORIAL;6
7;timide main-d’œuvre agréable;https://fourbe-collegue.name;TUTORIAL;7
8;pour;https://apte-communaute-etudiante.com/;DOCUMENTATION;8
9;pendre adversaire tisser;https://insipide-porte-parole.com;DOCUMENTATION;9
10;tant que jadis simple;https://maigre-lectorat.fr/;REPOSITORY;10
