id;title;description;showcase;status;created_at;updated_at;github_url;website_url;demo_url;open_to_collaboration;open_to_funding;type;total_likes;total_shares;total_views;total_comments;total_favorites;is_deleted;created_by;last_updated_by
1;du fait que bzzz;abuser hors à condition que;vers;PLANNING;2025-01-30T23:49:34;2025-01-31T04:00:21;d'entre ronron du fait que;comme secouriste en guise de;vlan snif vroum;true;true;STARTUP;5951;2250;14202;23937;3547;true;mal;ci tant
2;toc-toc loin pschitt;avant que partenaire;nonobstant maigre aigre;PUBLISHED;2025-01-31T07:46:50;2025-01-30T17:14:52;hors en face de achever;derrière jeune enfant;doucement;false;true;PERSONAL;1465;21221;14641;22286;18728;false;favoriser large sitôt que;simple
3;durant fier;pour adversaire fidèle;membre à vie de façon à ce que avant que;DELETED;2025-01-31T15:46:20;2025-01-31T08:25:30;étant donné que;préserver;jusqu’à ce que du fait que sauf à;true;false;STARTUP;15805;9360;24836;2230;8330;false;hôte;propre debout
4;de façon à ce que;fonctionnaire;brave membre du personnel;WAITING_VALIDATION;2025-01-31T06:12:10;2025-01-31T07:10:46;d'avec direction géométrique;concernant en miaou;tandis que lectorat vouh;true;false;STARTUP;11037;20187;20199;5815;27667;false;marron d’autant que rendre;badaboum
5;entre-temps baigner trop peu;psittXXXXX;à bas de;PUBLISHED;2025-01-31T04:13:01;2025-01-31T12:55:15;tant assez;cependant areu areu tellement;prestataire de services;false;false;COMPETITION;6142;17192;23624;8463;10286;false;derechef ça;ouch au point que
6;siX;actionnaire céans;police mordre déclarer;PLANNING;2025-01-31T10:34:16;2025-01-30T22:39:01;gratis;soigner touriste;ah;false;true;COMPETITION;3499;8410;6407;26637;984;false;à côté de prout quasi;ramper
7;habile après entièrement;téméraire compenser;moins aïe;DELETED;2025-01-30T20:16:32;2025-01-31T10:22:41;commissionnaire invoquer;vu que;substituer;false;true;STARTUP;22922;18902;9421;7878;8191;true;pendant que;horrible
8;fonctionnaire à condition que;aimable loin de prétendre;trop drelin;WAITING_VALIDATION;2025-01-30T23:26:05;2025-01-30T16:39:15;heurter admirablement;tantôt;pourvu que atchoum;true;false;ENTREPRISE;10378;24526;16799;31386;11783;false;afin de brusque résumer;émettre cadre ronron
9;psitt;lorsque dorénavant vivace;gigantesque;PUBLISHED;2025-01-31T08:05:14;2025-01-31T13:25:43;pourvu que boucher;tchou tchouu;absolument bof;true;false;STARTUP;17496;7006;18162;11052;6774;true;serrer;hôte renier
10;à condition que fourbe conformer;tellement d'entre athlète;durant communiquer;ARCHIVED;2025-01-30T17:05:49;2025-01-31T08:06:19;cuicui;ronron présidence bof;ronron hypocrite;true;false;STARTUP;2548;21982;28368;11461;18369;false;animer;du fait que
