id;image_url;description;jhi_order;project_id
1;quoique hors de précisément;sans que;11797;1
2;jusque;placide;6939;2
3;interrompre cot cot;main-d’œuvre coac coac durant;32013;3
4;à l'encontre de;comme où d’autant que;7627;4
5;patientèle smack;membre titulaire communauté étudiante à moins de;11857;5
6;de manière à ce que bien que;oh bien;232;6
7;magenta probablement débile;vivace à l'exception de;18625;7
8;à l'égard de;nonobstant;26964;8
9;d'entre traduire assurément;hi bof;25801;9
10;via brave vu que;énergique tarder a;1008;10
