id;title;content;media_url;jhi_order;project_id
1;dès mature obliger;exprèsXXXX;coac coac bien que pff;17086;1
2;que cuicui dessus;pschitt tolérer;sans doute;17033;2
3;à bas de en plus de;cot cotXXX;imprimer tandis que;7412;3
4;sous;propre en bas de même si;mieux à défaut de  passablement;2940;4
5;sans que;sincèreXXX;à seule fin de découper jusqu’à ce que;12304;5
6;là tellement insipide;un peu au point que avant que;soit;16461;6
7;géométrique;lors deXXX;jusqu’à ce que multiple;16946;7
8;enrichir incalculable;outreXXXXX;prou;9195;8
9;dessous vlan étant donné que;fouleXXXXX;même si concurrence présidence;30149;9
10;autrefois communauté étudiante en decà de;engager aborder siffler;bon à l'instar de;24102;10
