id;name;color;is_forbidden;created_by
1;clientèle gratis;"#8bB";true;dissiper
2;au prix de ouille;"#dD9Cc3";true;chut là novice
3;hôte;"#C369AA";false;commis de cuisine
4;gigantesque fourbe;"#004";true;admirer
5;avant commander membre de l’équipe;"#67D";false;ah
6;carrément quant à;"#Ec1";false;en face de vaste
7;près de géométrique à raison de;"#CF2bcb";true;snif drôlement
8;juriste antagoniste avant de;"#4d1";false;à la faveur de de par diététiste
9;ronron ouah;"#e50";true;de la part de
10;tremper clientèle;"#CF11B6";true;dès que insipide splendide
