id;name;description;logo;created_at;updated_at;visibility;total_likes;is_deleted;created_by;last_updated_by
1;hôte ouin main-d’œuvre;assurément;mairie en dehors de;2025-01-31T00:05:08;2025-01-31T13:43:33;VISIBLE;24699;false;téméraire;pendant
2;au-delà coupable au prix de;chut;de façon à;2025-01-30T16:55:38;2025-01-31T03:55:11;VISIBLE;12067;false;sédentaire lunatique;en en dépit de fusiller
3;au cas où dynamique;membre de l’équipe;tant deçà si;2025-01-30T22:02:31;2025-01-30T22:03:36;VISIBLE;3595;true;vraiment trop peu;tant
4;autrefois;enfin en faveur de cadre;y psitt;2025-01-30T22:06:13;2025-01-31T08:23:31;VISIBLE;29296;false;tant;trop en dehors de
5;miam personnel;si;sans doute émérite;2025-01-30T19:22:20;2025-01-31T13:11:47;ARCHIVED;15723;false;contre smack de;volontiers détecter
6;passablement;comme;bè;2025-01-31T01:27:19;2025-01-31T16:19:20;ARCHIVED;25533;true;ah trop totalement;partenaire partout
7;croiser;loin gigantesque;que;2025-01-31T06:55:48;2025-01-31T15:13:05;ARCHIVED;13400;false;camarade probablement moins;recouvrir
8;délégation désagréable à l'insu de;cesser sus;rendre hormis;2025-01-31T13:54:07;2025-01-31T16:04:46;ARCHIVED;1763;false;électorat pendant alors que;de sorte que
9;membre du personnel;commissionnaire croâ;multiple glouglou;2025-01-31T01:33:00;2025-01-30T21:40:26;VISIBLE;14506;true;membre titulaire rédaction terne;étrangler totalement toutefois
10;jusqu’à ce que;aïe tant crac;hier ensuite;2025-01-30T19:21:06;2025-01-31T05:07:52;ARCHIVED;15894;false;loin bien;tant que nonobstant
